param fuelCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  8  8  10  9  7  5  2  4  8  2
2  8  100  4  10  8  10  9  8  9  2  3
3  8  4  100  4  5  7  2  4  5  4  3
4  10  10  4  100  7  7  5  4  6  10  7
5  9  8  5  7  100  7  7  7  7  9  5
6  7  10  7  7  7  100  6  2  9  10  8
7  5  9  2  5  7  6  100  9  7  8  7
8  2  8  4  4  7  2  9  100  2  4  8
9  4  9  5  6  7  9  7  2  100  4  10
10  8  2  4  10  9  10  8  4  4  100  5
11  2  3  3  7  5  8  7  8  10  5  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11 :=
1  100  9  100  100  100  100  10  2  100  100  8
2  9  100  8  100  100  100  100  100  100  100  100
3  100  8  100  10  100  100  100  100  100  100  100
4  100  100  10  100  7  100  5  100  100  100  100
5  100  100  100  7  100  5  100  100  100  100  2
6  100  100  100  100  5  100  6  100  8  100  100
7  10  100  100  5  100  6  100  3  100  100  100
8  2  100  100  100  100  100  3  100  3  9  100
9  100  100  100  100  100  8  100  3  100  10  100
10  100  100  100  100  100  100  100  9  10  100  8
11  8  100  100  100  2  100  100  100  100  8  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  1  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  1  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  1
6  .  .  .  .  .  .  1  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  1
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11 :=
1  .  0  0  0  0  0  0  1  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  1
6  .  .  .  .  .  .  0  0  0  0  0
7  .  .  .  .  .  .  .  1  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0
10  .  .  .  .  .  .  .  .  .  .  0
11  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  8
2  5  11
3  7  8
4  8  9
5  4  7
6  5  6
7  6  7
8  4  5
9  2  3
10  10  11
;
