param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  4  5  10  9  8  10  10  9  10  7  8  10
2  4  100  4  8  3  10  8  4  2  3  5  7  3
3  5  4  100  10  10  3  3  7  5  9  4  8  9
4  10  8  10  100  6  6  9  6  7  10  4  4  6
5  9  3  10  6  100  8  10  10  6  6  6  10  10
6  8  10  3  6  8  100  4  3  3  9  9  10  2
7  10  8  3  9  10  4  100  10  6  7  7  4  7
8  10  4  7  6  10  3  10  100  9  10  2  8  7
9  9  2  5  7  6  3  6  9  100  4  7  3  8
10  10  3  9  10  6  9  7  10  4  100  7  9  2
11  7  5  4  4  6  9  7  2  7  7  100  9  8
12  8  7  8  4  10  10  4  8  3  9  9  100  7
13  10  3  9  6  10  2  7  7  8  2  8  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  100  5  100  100  5  100  7  100  100  100  9  100  8
2  5  100  8  100  100  100  2  100  100  100  100  100  100
3  100  8  100  10  100  100  100  5  100  3  100  100  100
4  100  100  10  100  5  100  2  100  100  100  100  100  2
5  5  100  100  5  100  10  100  100  100  100  100  5  7
6  100  100  100  100  10  100  3  100  100  2  8  100  100
7  7  2  100  2  100  3  100  7  3  100  100  100  100
8  100  100  5  100  100  100  7  100  8  100  100  10  100
9  100  100  100  100  100  100  3  8  100  5  100  100  9
10  100  100  3  100  100  2  100  100  5  100  5  100  100
11  9  100  100  100  100  8  100  100  100  5  100  3  100
12  100  100  100  100  5  100  100  10  100  100  3  100  10
13  8  100  100  2  7  100  100  100  9  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  1  0  0  1  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  1  0  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  1  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  1
5  .  .  .  .  .  0  0  0  0  0  0  1  0
6  .  .  .  .  .  .  1  0  0  1  0  0  0
7  .  .  .  .  .  .  .  0  1  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  1  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  1  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  1
5  .  .  .  .  .  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  1  0  0  1  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  7
2  4  7
3  4  13
4  6  10
5  3  10
6  6  7
7  7  9
8  11  12
9  1  2
10  1  5
11  3  8
12  5  12
;
