param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  5  10  7  7  4  4  6  2  2  10  8  9  4  10
2  5  100  7  10  3  5  3  10  3  2  2  8  4  9  5
3  10  7  100  10  4  2  7  5  7  5  9  4  3  9  10
4  7  10  10  100  6  5  7  5  5  7  8  10  9  8  6
5  7  3  4  6  100  4  3  3  5  3  7  8  9  8  3
6  4  5  2  5  4  100  2  4  2  6  9  4  6  5  5
7  4  3  7  7  3  2  100  10  5  10  7  2  6  7  8
8  6  10  5  5  3  4  10  100  2  5  7  5  3  7  4
9  2  3  7  5  5  2  5  2  100  5  6  10  2  10  10
10  2  2  5  7  3  6  10  5  5  100  3  6  7  3  3
11  10  2  9  8  7  9  7  7  6  3  100  9  9  6  9
12  8  8  4  10  8  4  2  5  10  6  9  100  3  5  4
13  9  4  3  9  9  6  6  3  2  7  9  3  100  2  7
14  4  9  9  8  8  5  7  7  10  3  6  5  2  100  7
15  10  5  10  6  3  5  8  4  10  3  9  4  7  7  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  100  4  100  100  100  2  5  100  10  100  100  100  100  100  5
2  4  100  6  100  100  100  100  100  100  100  100  100  100  100  100
3  100  6  100  2  100  100  100  2  100  10  100  100  100  100  100
4  100  100  2  100  7  100  4  100  100  100  100  100  100  100  7
5  100  100  100  7  100  4  100  7  100  6  100  100  100  5  9
6  2  100  100  100  4  100  7  100  100  100  100  100  100  9  100
7  5  100  100  4  100  7  100  8  100  100  100  10  100  100  6
8  100  100  2  100  7  100  8  100  2  100  100  4  100  100  100
9  10  100  100  100  100  100  100  2  100  4  100  100  100  100  100
10  100  100  10  100  6  100  100  100  4  100  2  100  100  9  100
11  100  100  100  100  100  100  100  100  100  2  100  9  7  100  100
12  100  100  100  100  100  100  10  4  100  100  9  100  4  4  100
13  100  100  100  100  100  100  100  100  100  100  7  4  100  5  100
14  100  100  100  100  5  9  100  100  100  9  100  4  5  100  2
15  5  100  100  7  9  100  6  100  100  100  100  100  100  2  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  1  1  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  1  0  0  0  0  0  0  0
4  .  .  .  .  0  0  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  1  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  1  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15 :=
1  .  1  0  0  0  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  1  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  6
2  3  4
3  3  8
4  8  9
5  10  11
6  14  15
7  1  2
8  4  7
9  5  6
10  8  12
11  9  10
12  12  13
13  12  14
14  1  7
;
