param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  4  3  10  3  8  3  7  9  10  8  7  9  10  3  2
2  4  100  10  8  3  8  3  9  8  9  9  7  2  2  7  2
3  3  10  100  8  2  4  7  3  5  6  10  4  10  6  4  8
4  10  8  8  100  10  6  6  10  9  6  4  7  2  3  8  8
5  3  3  2  10  100  7  10  2  9  5  3  6  10  4  10  2
6  8  8  4  6  7  100  4  6  10  6  7  2  4  5  10  8
7  3  3  7  6  10  4  100  9  3  10  4  9  3  2  7  3
8  7  9  3  10  2  6  9  100  3  6  5  5  9  5  4  3
9  9  8  5  9  9  10  3  3  100  6  8  10  9  6  7  2
10  10  9  6  6  5  6  10  6  6  100  2  6  2  8  2  3
11  8  9  10  4  3  7  4  5  8  2  100  6  4  2  6  9
12  7  7  4  7  6  2  9  5  10  6  6  100  4  5  3  3
13  9  2  10  2  10  4  3  9  9  2  4  4  100  8  6  8
14  10  2  6  3  4  5  2  5  6  8  2  5  8  100  5  6
15  3  7  4  8  10  10  7  4  7  2  6  3  6  5  100  3
16  2  2  8  8  2  8  3  3  2  3  9  3  8  6  3  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  100  4  3  3  100  100  4  100  100  100  100  100  8  100  9  8
2  4  100  5  100  100  100  100  100  100  100  100  100  100  100  2  100
3  3  5  100  7  100  100  100  100  100  100  100  100  100  100  100  100
4  3  100  7  100  2  100  100  100  3  100  100  100  10  100  100  100
5  100  100  100  2  100  4  100  100  2  100  100  100  100  100  100  100
6  100  100  100  100  4  100  5  100  100  100  100  100  100  100  100  100
7  4  100  100  100  100  5  100  8  100  100  100  100  2  3  100  100
8  100  100  100  100  100  100  8  100  9  100  6  100  3  100  8  100
9  100  100  100  3  2  100  100  9  100  3  100  100  100  100  100  100
10  100  100  100  100  100  100  100  100  3  100  4  4  100  100  100  100
11  100  100  100  100  100  100  100  6  100  4  100  3  100  8  100  100
12  100  100  100  100  100  100  100  100  100  4  3  100  3  100  100  6
13  8  100  100  10  100  100  2  3  100  100  100  3  100  8  100  100
14  100  100  100  100  100  100  3  100  100  100  8  100  8  100  7  100
15  9  2  100  100  100  100  100  8  100  100  100  100  100  7  100  3
16  8  100  100  100  100  100  100  100  100  100  100  6  100  100  3  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  1  1  1  0  0  1  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  1  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  1  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  1  1  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  1  0  0  0
9  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16 :=
1  .  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  1  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  1  1  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  15
2  4  5
3  5  9
4  7  13
5  1  3
6  1  4
7  7  14
8  8  13
9  9  10
10  11  12
11  12  13
12  15  16
13  1  2
14  1  7
15  5  6
;
