param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  4  8  6  4  7  8  5  3  5  10  3  5  7  3  10  2
2  4  100  2  6  7  5  4  9  7  3  6  9  5  3  6  2  2
3  8  2  100  3  8  9  4  3  4  5  4  3  7  3  10  5  3
4  6  6  3  100  4  6  8  3  5  7  8  3  9  8  2  6  2
5  4  7  8  4  100  8  5  4  4  9  7  5  10  4  7  6  4
6  7  5  9  6  8  100  3  2  6  4  3  2  7  6  7  9  6
7  8  4  4  8  5  3  100  6  3  7  5  7  9  3  2  8  2
8  5  9  3  3  4  2  6  100  4  9  6  5  4  10  7  6  3
9  3  7  4  5  4  6  3  4  100  2  7  10  4  7  2  3  4
10  5  3  5  7  9  4  7  9  2  100  6  5  9  6  7  4  3
11  10  6  4  8  7  3  5  6  7  6  100  4  9  7  5  6  8
12  3  9  3  3  5  2  7  5  10  5  4  100  4  2  9  3  7
13  5  5  7  9  10  7  9  4  4  9  9  4  100  4  6  2  3
14  7  3  3  8  4  6  3  10  7  6  7  2  4  100  5  10  8
15  3  6  10  2  7  7  2  7  2  7  5  9  6  5  100  10  9
16  10  2  5  6  6  9  8  6  3  4  6  3  2  10  10  100  9
17  2  2  3  2  4  6  2  3  4  3  8  7  3  8  9  9  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  100  10  100  100  100  10  100  100  10  100  100  100  7  100  100  100  8
2  10  100  2  100  100  100  100  100  100  100  100  100  100  9  10  100  100
3  100  2  100  3  100  100  9  100  100  100  5  100  100  100  100  9  100
4  100  100  3  100  9  7  9  100  100  100  100  2  100  100  100  100  100
5  100  100  100  9  100  9  100  100  100  100  100  100  100  100  6  2  100
6  10  100  100  7  9  100  2  100  100  100  100  2  100  100  100  2  100
7  100  100  9  9  100  2  100  7  100  100  100  100  100  100  100  100  3
8  100  100  100  100  100  100  7  100  7  100  100  100  100  100  4  100  100
9  10  100  100  100  100  100  100  7  100  8  100  100  100  100  100  100  5
10  100  100  100  100  100  100  100  100  8  100  5  100  100  100  100  5  100
11  100  100  5  100  100  100  100  100  100  5  100  5  100  100  100  100  100
12  100  100  100  2  100  2  100  100  100  100  5  100  10  100  100  100  100
13  7  100  100  100  100  100  100  100  100  100  100  10  100  3  100  100  100
14  100  9  100  100  100  100  100  100  100  100  100  100  3  100  9  100  100
15  100  10  100  100  6  100  100  4  100  100  100  100  100  9  100  2  100
16  100  100  9  100  2  2  100  100  100  5  100  100  100  100  2  100  7
17  8  100  100  100  100  100  3  100  5  100  100  100  100  100  100  7  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  1  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1  0
6  .  .  .  .  .  .  1  0  0  0  0  1  0  0  0  1  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  1
10  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17 :=
1  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  1  0
6  .  .  .  .  .  .  1  0  0  0  0  1  0  0  0  1  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  2  3
2  4  12
3  5  16
4  6  7
5  6  12
6  6  16
7  15  16
8  3  4
9  7  17
10  13  14
11  8  15
12  3  11
13  9  17
14  10  11
15  1  13
16  1  17
;
