param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  5  6  9  10  9  4  5  8  5  7  8  5  3  4  5  6  6
2  5  100  2  10  10  3  4  10  2  6  9  7  7  10  3  7  6  3
3  6  2  100  5  10  3  6  8  4  10  9  3  4  10  6  4  3  8
4  9  10  5  100  6  10  9  9  6  3  4  2  9  2  9  9  5  9
5  10  10  10  6  100  7  6  4  8  6  10  3  2  3  10  5  5  9
6  9  3  3  10  7  100  7  10  2  3  7  8  10  2  3  7  9  10
7  4  4  6  9  6  7  100  5  8  7  10  2  2  5  7  8  9  6
8  5  10  8  9  4  10  5  100  8  7  3  4  4  8  4  3  9  10
9  8  2  4  6  8  2  8  8  100  4  10  5  9  4  6  2  5  7
10  5  6  10  3  6  3  7  7  4  100  9  7  7  7  7  5  8  3
11  7  9  9  4  10  7  10  3  10  9  100  5  10  7  2  6  8  9
12  8  7  3  2  3  8  2  4  5  7  5  100  7  2  9  8  5  8
13  5  7  4  9  2  10  2  4  9  7  10  7  100  5  8  10  4  10
14  3  10  10  2  3  2  5  8  4  7  7  2  5  100  8  8  2  2
15  4  3  6  9  10  3  7  4  6  7  2  9  8  8  100  4  7  3
16  5  7  4  9  5  7  8  3  2  5  6  8  10  8  4  100  6  3
17  6  6  3  5  5  9  9  9  5  8  8  5  4  2  7  6  100  4
18  6  3  8  9  9  10  6  10  7  3  9  8  10  2  3  3  4  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  100  3  5  6  3  100  100  100  100  100  100  100  100  10  100  100  2  4
2  3  100  10  10  10  100  100  100  8  100  7  5  100  100  9  100  6  100
3  5  10  100  9  100  100  100  100  100  10  100  7  9  100  7  100  100  100
4  6  10  9  100  10  100  100  10  100  2  100  4  9  100  100  4  100  100
5  3  10  100  10  100  4  9  100  100  100  100  100  100  100  100  10  100  100
6  100  100  100  100  4  100  7  100  100  100  100  100  100  100  100  100  100  100
7  100  100  100  100  9  7  100  4  100  100  100  100  100  100  3  100  8  6
8  100  100  100  10  100  100  4  100  5  100  6  100  100  100  100  100  100  2
9  100  8  100  100  100  100  100  5  100  5  100  3  100  6  100  100  100  100
10  100  100  10  2  100  100  100  100  5  100  7  100  100  100  2  4  100  2
11  100  7  100  100  100  100  100  6  100  7  100  6  100  100  100  100  7  100
12  100  5  7  4  100  100  100  100  3  100  6  100  2  100  100  100  100  2
13  100  100  9  9  100  100  100  100  100  100  100  2  100  8  100  100  100  100
14  10  100  100  100  100  100  100  100  6  100  100  100  8  100  10  100  100  100
15  100  9  7  100  100  100  3  100  100  2  100  100  100  10  100  7  100  100
16  100  100  100  4  10  100  100  100  100  4  100  100  100  100  7  100  8  100
17  2  6  100  100  100  100  8  100  100  100  7  100  100  100  100  8  100  5
18  4  100  100  100  100  100  6  2  100  2  100  2  100  100  100  100  5  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  1  1
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  1  0  0
5  .  .  .  .  .  1  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0  0
8  .  .  .  .  .  .  .  .  0  0  1  0  0  0  0  0  0  1
9  .  .  .  .  .  .  .  .  .  0  0  1  0  1  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0  0  1
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18 :=
1  .  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0
2  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  1
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  1  0  0  1
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0  0  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstEdges:  1  2 :=
1  1  17
2  4  10
3  8  18
4  10  15
5  10  18
6  12  13
7  12  18
8  1  2
9  1  5
10  7  15
11  9  12
12  1  18
13  4  16
14  5  6
15  1  3
16  8  11
17  9  14
;
