param fuelCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  4  3  7  5  2  4  10  3  4  10  8  5  4  4  10  3  3  8
2  4  100  10  6  7  4  10  8  8  8  6  10  6  7  10  4  7  3  9
3  3  10  100  5  5  4  2  6  10  9  2  6  2  10  4  7  2  7  4
4  7  6  5  100  2  3  6  8  8  6  4  3  8  5  10  7  2  8  6
5  5  7  5  2  100  3  10  10  5  9  3  8  2  7  5  4  5  6  4
6  2  4  4  3  3  100  6  9  4  3  5  7  3  5  5  4  4  6  2
7  4  10  2  6  10  6  100  7  10  2  6  9  9  9  5  4  9  2  10
8  10  8  6  8  10  9  7  100  2  7  9  8  9  7  5  8  2  10  6
9  3  8  10  8  5  4  10  2  100  9  9  3  4  4  5  8  10  4  8
10  4  8  9  6  9  3  2  7  9  100  2  8  5  4  8  9  10  6  8
11  10  6  2  4  3  5  6  9  9  2  100  7  4  4  8  3  8  7  4
12  8  10  6  3  8  7  9  8  3  8  7  100  8  10  3  2  6  9  9
13  5  6  2  8  2  3  9  9  4  5  4  8  100  8  7  5  4  10  6
14  4  7  10  5  7  5  9  7  4  4  4  10  8  100  5  8  4  9  8
15  4  10  4  10  5  5  5  5  5  8  8  3  7  5  100  2  9  10  2
16  10  4  7  7  4  4  4  8  8  9  3  2  5  8  2  100  10  6  9
17  3  7  2  2  5  4  9  2  10  10  8  6  4  4  9  10  100  10  6
18  3  3  7  8  6  6  2  10  4  6  7  9  10  9  10  6  10  100  10
19  8  9  4  6  4  2  10  6  8  8  4  9  6  8  2  9  6  10  100
;
param timeCost:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  100  5  100  100  100  100  3  100  100  100  100  100  100  9  100  100  100  100  10
2  5  100  7  100  100  100  100  100  100  100  100  3  100  100  8  5  8  100  100
3  100  7  100  4  100  100  100  3  100  100  100  100  100  100  100  100  5  100  100
4  100  100  4  100  9  100  100  2  100  100  100  7  100  100  100  100  100  100  100
5  100  100  100  9  100  7  100  2  100  100  6  100  2  100  100  5  100  8  100
6  100  100  100  100  7  100  7  100  100  100  8  100  100  3  100  100  100  100  100
7  3  100  100  100  100  7  100  7  100  100  100  100  100  100  7  100  100  100  100
8  100  100  3  2  2  100  7  100  9  100  100  100  4  4  100  100  100  9  4
9  100  100  100  100  100  100  100  9  100  10  100  100  100  100  100  100  100  4  100
10  100  100  100  100  100  100  100  100  10  100  9  8  100  100  100  8  3  100  100
11  100  100  100  100  6  8  100  100  100  9  100  9  100  100  100  100  100  100  100
12  100  3  100  7  100  100  100  100  100  8  9  100  3  7  100  3  100  9  3
13  100  100  100  100  2  100  100  4  100  100  100  3  100  4  100  6  100  100  100
14  9  100  100  100  100  3  100  4  100  100  100  7  4  100  8  100  100  100  100
15  100  8  100  100  100  100  7  100  100  100  100  100  100  8  100  3  100  10  100
16  100  5  100  100  5  100  100  100  100  8  100  3  6  100  3  100  2  100  100
17  100  8  5  100  100  100  100  100  100  3  100  100  100  100  100  2  100  6  100
18  100  100  100  100  8  100  100  9  4  100  100  9  100  100  10  100  6  100  10
19  10  100  100  100  100  100  100  4  100  100  100  3  100  100  100  100  100  10  100
;
param mst:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  1  0  0  1  0  1  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  1  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  1  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  1  0  0  1
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
param mstHalf:  1  2  3  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19 :=
1  .  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
2  .  .  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
3  .  .  .  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
4  .  .  .  .  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
5  .  .  .  .  .  0  0  1  0  0  0  0  1  0  0  0  0  0  0
6  .  .  .  .  .  .  0  0  0  0  0  0  0  1  0  0  0  0  0
7  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0  0
8  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0  0
9  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0  0  0
10  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  1  0  0
11  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0  0
12  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0  0
13  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0  0
14  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0  0
15  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0  0  0
16  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  1  0  0
17  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0  0
18  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  0
19  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .
;
