graph,tsp_t1,tsp,tsp_t2,dp_tsp,dp_t1,dp,dp_t2,dp_mstH,dp_mst3c,dp_mst
0,458,52,458,52,751,51,752,54,51,57
1,458,52,459,52,756,52,757,58,52,59
2,459,67,460,67,760,67,761,68,67,68
3,460,67,461,67,765,61,766,61,67,61
4,461,71,462,71,770,71,771,72,71,82
5,462,58,463,58,775,56,775,60,56,60
6,463,58,464,58,779,57,780,57,57,65
7,464,57,464,57,784,57,785,58,57,62
8,464,41,465,41,788,41,789,46,41,48
9,465,57,466,57,793,49,794,49,49,54
10,466,56,467,56,798,56,799,56,56,58
11,467,66,468,66,802,66,803,66,66,74
12,468,70,469,70,807,62,808,62,62,63
13,469,58,469,58,812,58,813,58,58,65
14,470,57,470,57,817,54,818,55,54,57
15,470,68,471,68,821,68,822,72,68,86
16,471,49,472,49,826,48,827,49,48,50
17,472,47,473,47,831,46,832,47,47,47
18,473,61,474,61,836,61,837,61,61,68
19,474,67,475,67,840,65,841,65,65,72
20,475,60,475,60,845,60,846,63,60,68
21,475,70,476,70,849,68,850,68,68,73
22,476,65,477,65,854,65,855,65,65,69
23,477,56,478,56,859,53,860,56,53,57
24,478,46,479,46,863,46,864,49,46,55
25,479,52,479,52,868,52,869,52,55,62
26,479,54,480,54,873,54,873,58,57,58
27,480,64,481,64,877,64,878,67,65,71
28,481,53,482,53,882,53,883,53,53,61
29,482,68,483,68,886,62,887,68,64,68
30,483,43,484,43,891,43,892,46,43,47
31,484,43,484,43,895,43,896,43,45,51
32,484,55,485,55,900,53,901,53,53,60
33,485,62,486,62,905,62,906,62,62,78
34,486,56,487,56,909,56,910,59,56,61
35,487,65,488,65,914,65,915,69,65,70
36,488,67,489,67,919,64,920,65,64,65
37,489,81,490,81,924,77,925,85,77,88
38,490,53,490,53,928,52,929,52,54,52
39,490,50,491,50,933,45,934,46,46,46
40,491,58,492,58,937,58,938,65,58,68
41,492,51,493,51,942,50,943,50,51,54
42,493,62,494,62,947,62,948,64,64,75
43,494,59,494,59,951,59,952,61,61,67
44,494,54,495,54,956,52,957,54,52,55
45,495,73,496,73,961,73,962,79,78,80
46,496,60,497,60,965,60,966,61,60,67
47,497,47,498,47,970,46,971,46,46,51
48,498,59,499,59,975,59,976,61,59,61
49,499,49,499,49,980,48,981,48,48,52
50,499,71,500,71,984,71,986,73,71,76
51,500,64,501,64,989,64,990,67,64,71
52,501,71,502,71,994,68,995,74,68,74
53,502,61,503,61,999,59,999,59,59,68
54,503,64,504,64,1003,61,1004,61,61,65
55,504,47,504,47,1008,47,1009,50,50,51
56,504,45,505,45,1013,44,1014,44,44,44
57,505,57,507,57,1017,52,1018,52,52,57
58,507,53,507,53,1022,53,1023,53,53,60
59,507,63,508,63,1027,56,1028,59,56,60
60,508,66,509,66,1031,62,1032,64,65,64
61,509,56,510,56,1036,56,1037,61,56,61
62,510,62,510,62,1040,62,1041,65,62,72
63,510,59,511,59,1045,59,1046,63,59,69
64,511,62,512,62,1050,59,1051,59,59,69
65,512,53,513,53,1054,53,1055,53,53,64
66,513,73,514,73,1059,71,1060,76,73,76
67,514,81,514,81,1064,81,1065,82,82,99
68,514,62,515,62,1068,62,1069,62,72,62
69,515,49,516,49,1073,48,1074,48,48,50
70,516,64,517,64,1078,63,1078,64,63,74
71,517,45,518,45,1082,41,1083,43,41,43
72,518,43,519,43,1087,43,1088,44,43,50
73,519,66,519,66,1092,66,1093,66,70,82
74,519,49,520,49,1096,47,1097,47,49,49
75,520,55,521,55,1101,53,1102,53,55,59
76,521,47,522,47,1106,47,1107,48,48,53
77,522,60,523,60,1110,60,1111,61,60,71
78,523,44,524,44,1115,44,1116,45,44,50
79,524,56,524,56,1120,52,1120,52,52,61
80,524,43,525,43,1124,43,1125,46,43,53
81,525,60,526,60,1129,60,1130,62,60,67
82,526,59,527,59,1134,52,1135,54,52,56
83,527,67,528,67,1138,64,1139,68,64,68
84,528,50,529,50,1143,50,1144,51,50,53
85,529,64,529,64,1148,64,1149,64,69,77
86,529,53,530,53,1152,52,1153,52,52,58
87,530,64,531,64,1157,57,1158,57,57,58
88,531,49,532,49,1162,46,1163,46,47,49
89,532,70,533,70,1166,70,1167,70,70,78
90,533,47,534,47,1171,47,1172,48,47,51
91,534,63,535,63,1175,63,1176,69,63,69
92,535,60,535,60,1180,60,1181,60,60,67
93,535,59,536,59,1185,59,1186,59,63,59
94,536,56,537,56,1190,55,1190,57,55,63
95,537,66,538,66,1194,66,1195,71,67,78
96,538,52,539,52,1199,51,1200,51,51,58
97,539,49,540,49,1204,46,1205,46,49,56
98,540,48,540,48,1208,45,1210,45,45,49
99,540,63,541,63,1213,57,1214,57,57,61
